gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
POU5F1B,POU5F1B,115,0.71317804,0.8045412,-0.09136313,0.3448117673397064,0.26752910017967224,-0.07728266716003418
ZNF831,ZNF831,88,0.8087836,0.90021414,-0.091430545,0.4525242745876312,0.3608083426952362,-0.09171593189239502
SPRR2D,SPRR2D,105,0.8717566,0.96323097,-0.091474354,0.27089232206344604,0.09243568032979965,-0.1784566417336464
PDCD10,PDCD10,101,0.7549892,0.84652334,-0.09153414,0.30555495619773865,0.2112143337726593,-0.09434062242507935
GGH,GGH,97,0.7981217,0.88969755,-0.09157586,0.3743060827255249,0.1927557736635208,-0.1815503090620041
AHCTF1,AHCTF1,111,0.7513571,0.8430094,-0.091652334,0.37434786558151245,0.2449946403503418,-0.12935322523117065
MIR214,MIR214,100,0.820724,0.91249293,-0.09176892,0.21442994475364685,0.10785660892724991,-0.10657333582639694
C8orf34,C8orf34,95,0.77772737,0.8697216,-0.091994226,0.759903609752655,0.4580290615558624,-0.3018745481967926
TOMM20,TOMM20,120,0.68387055,0.7759219,-0.09205133,0.3626488745212555,0.2614332437515259,-0.10121563076972961
RNA5SP274,RNA5SP274,112,0.82959944,0.9217519,-0.09215248,0.4249661862850189,0.23588208854198456,-0.18908409774303436
OTUD6B,OTUD6B,98,0.8631996,0.95541817,-0.09221858,0.3108457326889038,0.11687090992927551,-0.1939748227596283
MIR3650,MIR3650,106,0.6727845,0.7650356,-0.09225112,0.307840496301651,0.2341947704553604,-0.07364572584629059
ADNP,ADNP,101,0.84163064,0.9341077,-0.09247708,0.42338165640830994,0.21578724682331085,-0.20759440958499908
snoU13,snoU13|ENSG00000238526.1,103,0.78711975,0.87971663,-0.09259689,0.3494534194469452,0.23984526097774506,-0.10960815846920013
RN7SKP29,RN7SKP29,107,0.81864935,0.9113365,-0.09268713,0.4752334952354431,0.23811325430870056,-0.23712024092674255
GSDMC,GSDMC,88,0.79589534,0.88861656,-0.092721224,0.37806424498558044,0.22835277020931244,-0.149711474776268
MOCS3,MOCS3,93,0.84140027,0.9341431,-0.09274286,0.20659059286117554,0.10139059275388718,-0.10520000010728836
