Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial Translation (GO:0032543),-0.3373561603352685,-1.0580080770597187,0.39341085271317827,0.7151031775781201,1.0,4/15,10.58%,TSFM;MRPS12;MRPL21;MRPL36
prerank,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),-0.39498224514168667,-1.057984955922958,0.37424547283702214,0.7119012754784191,1.0,3/10,10.08%,IFNG;RAP1B;NRG1
prerank,Positive Regulation Of Protein Ubiquitination (GO:0031398),-0.36848183157061676,-1.0560730393945224,0.38289205702647655,0.7133426257008765,1.0,3/11,14.01%,BIRC3;BIRC2;BIRC7
prerank,DNA Repair (GO:0006281),-0.2831969302038247,-1.0552557453112672,0.36988847583643125,0.7122229288736664,1.0,8/27,22.29%,POLB;HMGA2;CHD1L;NEIL2;MRPL36;TRRAP;TRIP13;PRKDC
prerank,Protein Stabilization (GO:0050821),-0.2703805117687763,-1.0543509137048503,0.3935969868173258,0.7111595257038468,1.0,10/35,20.39%,SOX4;PDRG1;URI1;LAMP1;GOLGA7;STK4;TTI2;PFDN4;BAG4;SOX17
prerank,Sensory Perception Of Light Stimulus (GO:0050953),0.3726221367681425,1.0517722982567694,0.38065843621399176,1.0,1.0,2/10,4.56%,PRR4;OPA1
prerank,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),-0.36953791136285874,-1.051292136761431,0.4137254901960784,0.7153652543010065,1.0,5/11,32.17%,SFRP1;TWIST1;ZNF703;IL6;DAB2
prerank,Inorganic Cation Import Across Plasma Membrane (GO:0098659),0.3303145683003704,1.0496646130419314,0.373469387755102,1.0,1.0,6/15,24.65%,KCNJ8;ATP1A4;ATP2B4;SLC12A5;ATP1B1;KCNK9
prerank,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),-0.24163683570202354,-1.0496114707753004,0.3401869158878505,0.7162884539064074,1.0,13/54,15.74%,JAK2;FGF19;EGFR;COL4A2;PAK1;GRB7;FGF3;IRS2;NRG1;AKT2;BLK;MET;ARHGEF7
prerank,Import Into Nucleus (GO:0051170),-0.3838385524470854,-1.0476577414476835,0.395112016293279,0.7147456413260068,1.0,5/10,25.12%,IPO8;E2F3;STK4;NUP107;KPNA7
