gene,raw_identifier,n_masked,neural_r,neural_mse,rank_r,rank_mse,quality_score
INTS3,INTS3,101,0.711373,0.4715785086154938,0.4674718196457327,0.4689210950080515,0.4681964573268921
NBPF12,NBPF12,103,0.7022682,0.45554429292678833,0.4396135265700483,0.4962962962962963,0.4679549114331723
RPL13P5,RPL13P5,88,0.53493416,0.32926303148269653,0.15813204508856682,0.7774557165861514,0.4677938808373591
DAP,DAP,117,0.70135844,0.45423245429992676,0.4363929146537842,0.499194847020934,0.46779388083735907
CCND2,CCND2,130,0.45048964,0.29475802183151245,0.08695652173913043,0.8479871175523349,0.4674718196457327
PP13439,PP13439,122,0.6635846,0.4138159453868866,0.3497584541062802,0.5848631239935588,0.4673107890499195
ZNF573,ZNF573,99,0.69556415,0.4505568742752075,0.42254428341384864,0.5114331723027375,0.4669887278582931
M6PR,M6PR,99,0.5855478,0.35838261246681213,0.21900161030595813,0.7130434782608696,0.46602254428341383
MEX3A,MEX3A,104,0.73860335,0.5194231271743774,0.5452495974235104,0.3864734299516908,0.46586151368760065
CCNL1,CCNL1,96,0.7087718,0.46823418140411377,0.4573268921095008,0.4740740740740741,0.46570048309178746
MME,MME,107,0.72794133,0.4998679459095001,0.5152979066022544,0.4151368760064412,0.4652173913043478
KCNK6,KCNK6,88,0.6824128,0.43582579493522644,0.3922705314009662,0.537842190016103,0.4650563607085346
UBE2QL1,UBE2QL1,101,0.6948009,0.45130655169487,0.42061191626409017,0.5091787439613527,0.46489533011272144
CYP7A1,CYP7A1,104,0.56535774,0.34724733233451843,0.19098228663446054,0.7384863123993559,0.46473429951690826
MIR4286,MIR4286,108,0.66939026,0.41980335116386414,0.3568438003220612,0.5713365539452496,0.4640901771336554
OSTN,OSTN,105,0.78790677,0.6881624460220337,0.7130434782608696,0.21384863123993558,0.46344605475040257
RN7SL340P,RN7SL340P,99,0.48048338,0.3101647198200226,0.10821256038647344,0.8186795491143317,0.46344605475040257
SLCO5A1,SLCO5A1,93,0.6792765,0.43292510509490967,0.38293075684380035,0.5436392914653784,0.4632850241545894
LINC00659,LINC00659,93,0.7487464,0.5448956489562988,0.5797101449275363,0.3465378421900161,0.4631239935587762
ITGB8,ITGB8,110,0.67322725,0.42527586221694946,0.3671497584541063,0.5581320450885668,0.46264090177133654
PRLR,PRLR,125,0.6657568,0.41941767930984497,0.35201288244766504,0.5729468599033817,0.46247987117552336
SDR16C6P,SDR16C6P,97,0.67334104,0.4258405566215515,0.36747181964573267,0.5571658615136876,0.4623188405797102
FBXO45,FBXO45,84,0.78316164,0.6737016439437866,0.6975845410628019,0.22673107890499195,0.4621578099838969
CHMP4C,CHMP4C,96,0.779647,0.6614624857902527,0.6863123993558776,0.23768115942028986,0.46199677938808376
FAM63A,FAM63A,96,0.738726,0.5235347747802734,0.5455716586151369,0.3784219001610306,0.46199677938808376
EXOSC4,EXOSC4,119,0.75818825,0.5740571618080139,0.6119162640901772,0.3117552334943639,0.4618357487922705
GHRH,GHRH,108,0.80955714,0.8472554683685303,0.7974235104669888,0.1259259259259259,0.46167471819645733
LPIN3,LPIN3,107,0.77137625,0.6242783665657043,0.6553945249597424,0.2669887278582931,0.46119162640901773
PLCXD3,PLCXD3,103,0.61446196,0.3785281181335449,0.2602254428341385,0.6618357487922706,0.46103059581320455
WIPF2,WIPF2,108,0.48576435,0.3148554563522339,0.11304347826086956,0.8080515297906602,0.4605475040257649
PREX2,PREX2,84,0.8249779,1.0453546047210693,0.8589371980676328,0.06183574879227053,0.46038647342995165
RAB13,RAB13,97,0.75490993,0.5674654245376587,0.6003220611916265,0.3201288244766506,0.4602254428341385
MIR133A2,MIR133A2,120,0.8069847,0.8317899107933044,0.7874396135265701,0.1323671497584541,0.4599033816425121
S100A7,S100A7,116,0.7340069,0.5182711482048035,0.5314009661835749,0.38808373590982287,0.4597423510466989
HRH3,HRH3,91,0.70458084,0.4679580628871918,0.44508856682769726,0.47439613526570046,0.45974235104669886
SMCO3,SMCO3,92,0.730718,0.5131359696388245,0.5230273752012883,0.3961352657004831,0.4595813204508857
IRX4,IRX4,97,0.6116222,0.3779096007347107,0.25539452495974235,0.6631239935587762,0.45925925925925926
REM1,REM1,104,0.7730764,0.6338329911231995,0.6602254428341385,0.25829307568438004,0.45925925925925926
ALG3,ALG3,96,0.67859733,0.4352022409439087,0.3793880837359098,0.5391304347826087,0.45925925925925926
KRIT1,KRIT1,112,0.5747604,0.3577049672603607,0.20257648953301127,0.7156199677938808,0.4590982286634461
WFDC10A,WFDC10A,92,0.6567486,0.4164198040962219,0.33590982286634463,0.5803542673107891,0.45813204508856686
AARD,AARD,98,0.7347845,0.5220580697059631,0.5333333333333333,0.3822866344605475,0.4578099838969404
C20orf195,C20orf195,91,0.56583786,0.35343116521835327,0.19194847020933978,0.7230273752012882,0.457487922705314
CCAT1,CCAT1,97,0.7103188,0.479610413312912,0.4644122383252818,0.4505636070853462,0.457487922705314
